,sum_sq,df,F,PR(>F)
classes,2573185868792.5015,6.0,23.896381903943844,3.3605235846652474e-18
order,16508870409.228874,1.0,0.9198766639118281,0.33951947052639375
batch,1571891402758.6902,1.0,87.58601792603734,8.09225180871019e-16
Residual,2063885487634.5654,115.0,,
